icpsr,bioname,congress,chamber,twitter
99913,"BIDEN, Joseph Robinette, Jr.",117,President,POTUS
94659,"SHELBY, Richard C.",117,Senate,SenShelby
91980,"VAN DREW, Jefferson",117,House,CongressmanJVD
49703,"COLLINS, Susan Margaret",117,Senate,SenatorCollins
49308,"MURRAY, Patty",117,Senate,PattyMurray
49300,"FEINSTEIN, Dianne",117,Senate,SenFeinstein
42105,"WARNOCK, Raphael Gamaliel",117,Senate,ReverendWarnock
42104,"PADILLA, Alejandro (Alex)",117,Senate,AlexPadilla4CA
42103,"OSSOFF, Thomas Jonathan (Jon)",117,Senate,ossoff
42102,"TUBERVILLE, Thomas Hawley (Tommy)",117,Senate,TTuberville
42101,"HICKENLOOPER, John Wright",117,Senate,Hickenlooper
42100,"HAGERTY, William Francis (Bill)",117,Senate,BillHagertyTN
41905,"KELLY, Mark Edward",117,Senate,CaptMarkKelly
41904,"LOEFFLER, Kelly",117,Senate,KLoeffler
41903,"SCOTT, Richard Lynn (Rick)",117,Senate,SenRickScott
41902,"ROMNEY, Willard Mitt (Mitt)",117,Senate,MittRomney
41901,"HAWLEY, Joshua David",117,Senate,HawleyMO
41900,"BRAUN, Michael",117,Senate,SenatorBraun
41707,"HYDE-SMITH, Cindy",117,Senate,cindyhydesmith
41706,"SMITH, Tina",117,Senate,TinaSmithMN
41703,"KENNEDY, John Neely",117,Senate,SenJohnKennedy
41702,"HASSAN, Margaret (Maggie)",117,Senate,SenatorHassan
41701,"HARRIS, Kamala Devi",117,Senate,KamalaHarris
41700,"CORTEZ MASTO, Catherine Marie",117,Senate,SenCortezMasto
41505,"ROUNDS, Marion Michael (Mike)",117,Senate,SenatorRounds
41504,"TILLIS, Thomas Roland (Thom)",117,Senate,SenThomTillis
41503,"SASSE, Benjamin Eric",117,Senate,SenSasse
41502,"ERNST, Joni",117,Senate,SenJoniErnst
41500,"SULLIVAN, Daniel Scott",117,Senate,SenDanSullivan
41308,"BOOKER, Cory Anthony",117,Senate,CoryBooker
41305,"KAINE, Timothy Michael (Tim)",117,Senate,timkaine
41304,"CRUZ, Rafael Edward (Ted)",117,Senate,SenTedCruz
41302,"FISCHER, Debra (Deb)",117,Senate,SenatorFischer
41301,"WARREN, Elizabeth",117,Senate,SenWarren
41300,"KING, Angus Stanley, Jr.",117,Senate,SenAngusKing
41112,"SCHATZ, Brian Emanuel",117,Senate,brianschatz
41111,"JOHNSON, Ron",117,Senate,SenRonJohnson
41110,"LEE, Mike",117,Senate,SenMikeLee
41107,"HOEVEN, John",117,Senate,SenJohnHoeven
41104,"PAUL, Rand",117,Senate,RandPaul
41102,"RUBIO, Marco",117,Senate,marcorubio
41101,"BLUMENTHAL, Richard",117,Senate,SenBlumenthal
40916,"COONS, Christopher A.",117,Senate,ChrisCoons
40915,"MANCHIN, Joe, III",117,Senate,Sen_JoeManchin
40910,"BENNET, Michael F.",117,Senate,SenatorBennet
40909,"WARNER, Mark",117,Senate,MarkWarner
40908,"MERKLEY, Jeff",117,Senate,SenJeffMerkley
40906,"SHAHEEN, Jeanne",117,Senate,SenatorShaheen
40902,"RISCH, James",117,Senate,SenatorRisch
40707,"BARRASSO, John A.",117,Senate,SenJohnBarrasso
40704,"WHITEHOUSE, Sheldon",117,Senate,SenWhitehouse
40703,"CASEY, Robert (Bob), Jr.",117,Senate,SenBobCasey
40702,"TESTER, Jon",117,Senate,SenatorTester
40700,"KLOBUCHAR, Amy",117,Senate,amyklobuchar
40305,"CORNYN, John",117,Senate,JohnCornyn
40300,"MURKOWSKI, Lisa",117,Senate,lisamurkowski
39310,"CANTWELL, Maria E.",117,Senate,SenatorCantwell
39307,"SCOTT, Robert C.",117,House,
39305,"JOHNSON, Eddie Bernice",117,House,RepEBJ
39301,"CLYBURN, James Enos",117,House,WhipClyburn
31103,"PAYNE, Donald, Jr.",117,House,RepDonaldPayne
31102,"MASSIE, Thomas",117,House,RepThomasMassie
31101,"DelBENE, Suzan K.",117,House,RepDelBene
29940,"BALDWIN, Tammy",117,Senate,SenatorBaldwin
29935,"TOOMEY, Patrick Joseph",117,Senate,SenToomey
29911,"SCHAKOWSKY, Janice D.",117,House,janschakowsky
29910,"SIMPSON, Michael K.",117,House,CongMikeSimpson
29908,"LARSON, John B.",117,House,RepJohnLarson
29903,"NAPOLITANO, Grace Flores",117,House,gracenapolitano
29901,"THOMPSON, Michael",117,House,RepThompson
29778,"LEE, Barbara",117,House,RepBarbaraLee
29776,"MEEKS, Gregory W.",117,House,RepGregoryMeeks
29769,"KIND, Ron",117,House,RepRonKind
29768,"SMITH, Adam",117,House,RepAdamSmith
29762,"GRANGER, Kay",117,House,RepKayGranger
29760,"BRADY, Kevin Patrick",117,House,RepKevinBrady
29759,"SESSIONS, Pete",117,House,PeteSessions
29754,"THUNE, John",117,Senate,SenJohnThune
29741,"PASCRELL, William J., Jr.",117,House,BillPascrell
29735,"BLUNT, Roy",117,Senate,RoyBlunt
29732,"STABENOW, Deborah Ann",117,Senate,SenStabenow
29729,"McGOVERN, James P.",117,House,RepMcGovern
29722,"MORAN, Jerry",117,Senate,JerryMoran
29717,"DAVIS, Danny K.",117,House,RepDannyDavis
29710,"DeGETTE, Diana",117,House,RepDianaDeGette
29707,"SHERMAN, Brad",117,House,BradSherman
29701,"ADERHOLT, Robert",117,House,Robert_Aderholt
29588,"BLUMENAUER, Earl",117,House,repblumenauer
29573,"JACKSON LEE, Sheila",117,House,JacksonLeeTX18
